Date,OPEN,CLOSE,HIGH,LOW,MAx3,MAx2,MAx1,Ret,LN
05/14/2012,1346.00,1334.25,1351.00,1333.25,1369.62,1369.55,1312.15,0.98833,-0.011735256
05/15/2012,1334.50,1328.50,1347.00,1325.50,1365.88,1367.94,1312.31,0.99569,-0.00431885
05/16/2012,1328.75,1322.75,1339.75,1320.75,1361.96,1366.17,1312.42,0.99567,-0.004337583
05/17/2012,1323.00,1301.50,1330.75,1300.50,1356.46,1363.63,1312.31,0.98393,-0.016195457
05/18/2012,1302.00,1290.50,1310.50,1289.75,1350.47,1360.77,1312.09,0.99155,-0.008487705
05/21/2012,1291.75,1315.75,1316.00,1287.25,1347.31,1359.00,1312.13,1.01957,0.019377105
05/22/2012,1315.25,1315.00,1326.50,1307.50,1344.37,1357.28,1312.16,0.99943,-0.00057018
05/23/2012,1315.50,1316.00,1319.00,1294.00,1341.79,1355.66,1312.19,1.00076,0.000760167
05/24/2012,1315.75,1323.00,1323.50,1306.00,1340.09,1354.38,1312.30,1.00532,0.005305052
05/25/2012,1322.50,1314.75,1329.75,1312.00,1337.78,1352.82,1312.33,0.99376,-0.006255352
05/28/2012,1322.00,1321.50,1328.50,1319.75,1336.30,1351.59,1312.42,1.00513,0.005120922
05/29/2012,1321.00,1333.50,1334.25,1317.50,1336.05,1350.88,1312.63,1.00908,0.00903961
05/30/2012,1333.50,1308.50,1334.25,1308.00,1333.54,1349.22,1312.59,0.98125,-0.018925622
05/31/2012,1309.00,1306.00,1319.00,1297.25,1331.04,1347.53,1312.52,0.99809,-0.001912412
06/01/2012,1306.25,1273.75,1307.50,1273.50,1325.83,1344.63,1312.13,0.97531,-0.025003725
06/04/2012,1275.00,1272.75,1281.50,1262.00,1321.01,1341.81,1311.74,0.99921,-0.000785392
06/05/2012,1273.25,1285.50,1286.75,1267.50,1317.78,1339.61,1311.48,1.01002,0.009967834
06/06/2012,1285.25,1315.75,1315.75,1283.00,1317.59,1338.67,1311.52,1.02353,0.023259098
06/07/2012,1315.25,1316.25,1329.50,1312.00,1317.47,1337.79,1311.57,1.00038,0.000379939
06/08/2012,1316.25,1329.25,1329.50,1305.50,1318.54,1337.46,1311.75,1.00988,0.009828089
06/11/2012,1342.00,1307.00,1349.00,1306.25,1317.49,1336.26,1311.70,0.98326,-0.016880439
06/12/2012,1307.50,1327.00,1327.25,1303.75,1318.36,1335.90,1311.85,1.0153,0.015186321
06/13/2012,1326.25,1315.75,1327.75,1310.25,1318.12,1335.11,1311.89,0.99152,-0.00851391
06/14/2012,1315.75,1332.75,1334.50,1311.75,1319.45,1335.02,1312.10,1.01292,0.012837631
06/15/2012,1332.25,1335.75,1339.75,1331.25,1320.93,1335.05,1312.33,1.00225,0.002248455
06/18/2012,1345.25,1340.50,1347.50,1327.25,1322.71,1335.26,1312.61,1.00356,0.003549747
06/19/2012,1340.75,1350.25,1357.00,1336.50,1325.21,1335.85,1312.99,1.00727,0.007247082
06/20/2012,1350.00,1350.50,1355.50,1338.75,1327.51,1336.42,1313.36,1.00019,0.000185134
06/21/2012,1350.75,1318.25,1353.25,1317.50,1326.67,1335.71,1313.41,0.97612,-0.024169795
06/22/2012,1318.50,1325.50,1331.75,1318.25,1326.56,1335.31,1313.53,1.0055,0.005484647
06/25/2012,1325.50,1306.75,1326.50,1302.50,1324.76,1334.19,1313.46,0.98585,-0.014246608
06/26/2012,1306.75,1315.75,1318.00,1303.25,1323.94,1333.47,1313.49,1.00689,0.006863707
06/27/2012,1315.75,1326.25,1328.50,1312.00,1324.15,1333.18,1313.61,1.00798,0.007948566
06/28/2012,1325.75,1323.00,1327.75,1306.75,1324.05,1332.78,1313.71,0.99755,-0.002453526
06/29/2012,1322.00,1358.25,1359.50,1316.00,1327.16,1333.78,1314.15,1.02664,0.026295221
07/02/2012,1358.75,1358.00,1362.25,1349.50,1329.96,1334.73,1314.59,0.99982,-0.000184077
07/03/2012,1358.25,1368.75,1369.50,1355.25,1333.49,1336.07,1315.12,1.00792,0.007884885
07/04/2012,1366.50,1368.00,1370.00,1363.75,1336.63,1337.32,1315.65,0.99945,-0.000548095
07/05/2012,1366.00,1361.75,1375.00,1357.00,1338.91,1338.28,1316.11,0.99543,-0.004579182
07/06/2012,1361.50,1352.50,1364.00,1342.25,1340.14,1338.83,1316.47,0.99321,-0.006815906
07/09/2012,1349.25,1349.50,1350.25,1341.00,1341.00,1339.25,1316.80,0.99778,-0.002220578
07/10/2012,1349.00,1335.50,1356.50,1330.50,1340.50,1339.11,1316.99,0.98963,-0.0104284
07/11/2012,1335.00,1336.75,1342.50,1327.75,1340.16,1339.01,1317.18,1.00094,0.000935541
07/12/2012,1336.50,1328.75,1339.50,1319.75,1339.12,1338.61,1317.30,0.99402,-0.006002644
07/13/2012,1329.25,1352.00,1353.25,1328.75,1340.29,1339.14,1317.64,1.0175,0.017346327
07/16/2012,1351.25,1347.25,1352.50,1343.00,1340.92,1339.45,1317.94,0.99649,-0.0035195
07/17/2012,1347.25,1358.25,1360.50,1339.25,1342.50,1340.19,1318.34,1.00816,0.008131629
07/18/2012,1358.50,1367.25,1370.50,1352.50,1344.75,1341.25,1318.83,1.00663,0.006604317
07/19/2012,1367.25,1372.25,1376.00,1366.00,1347.25,1342.47,1319.36,1.00366,0.003650305
07/20/2012,1371.50,1358.75,1372.00,1357.00,1348.29,1343.11,1319.75,0.99016,-0.009886569
07/23/2012,1355.50,1343.50,1356.75,1332.00,1347.86,1343.12,1319.99,0.98878,-0.01128701
07/24/2012,1343.75,1329.75,1346.50,1323.75,1346.21,1342.60,1320.08,0.98977,-0.010287194
07/25/2012,1331.00,1334.75,1340.00,1321.25,1345.17,1342.29,1320.23,1.00376,0.003753054
07/26/2012,1334.75,1355.25,1358.75,1327.75,1346.09,1342.80,1320.58,1.01536,0.015241931
07/27/2012,1354.75,1382.50,1385.00,1352.75,1349.40,1344.35,1321.19,1.02011,0.019907515
07/30/2012,1379.25,1380.50,1387.50,1375.75,1352.22,1345.77,1321.78,0.99855,-0.001447702
07/31/2012,1380.00,1372.00,1386.50,1371.00,1354.02,1346.80,1322.28,0.99384,-0.006176223
08/01/2012,1372.00,1370.75,1381.50,1367.75,1355.54,1347.74,1322.77,0.99909,-0.000911494
08/02/2012,1370.00,1362.25,1383.00,1349.25,1356.15,1348.31,1323.16,0.9938,-0.006220291
08/03/2012,1362.25,1389.50,1390.50,1360.00,1359.18,1349.92,1323.82,1.02,0.019806226
08/06/2012,1390.25,1390.25,1395.75,1387.25,1362.01,1351.51,1324.48,1.00054,0.000539617
08/07/2012,1390.00,1396.75,1403.25,1387.50,1365.17,1353.28,1325.20,1.00468,0.004664522
08/08/2012,1396.50,1398.75,1400.25,1390.50,1368.22,1355.06,1325.93,1.00143,0.001430871
08/09/2012,1398.50,1400.50,1403.75,1393.75,1371.15,1356.84,1326.67,1.00125,0.001250335
08/10/2012,1400.25,1402.25,1402.75,1392.00,1373.98,1358.63,1327.42,1.00125,0.001248774
08/13/2012,1400.50,1402.50,1404.00,1394.25,1376.57,1360.35,1328.17,1.00018,0.000178269
08/14/2012,1402.00,1401.25,1409.50,1397.25,1378.82,1361.95,1328.90,0.99911,-0.000891663
08/15/2012,1401.25,1403.25,1405.75,1397.00,1381.04,1363.57,1329.64,1.00143,0.001426279
08/16/2012,1403.50,1413.75,1415.50,1401.75,1384.01,1365.54,1330.48,1.00748,0.007454774
08/17/2012,1413.75,1415.50,1416.75,1410.75,1386.87,1367.50,1331.32,1.00124,0.001237077
08/20/2012,1415.00,1414.75,1418.00,1409.50,1389.41,1369.35,1332.15,0.99947,-0.000529989
08/21/2012,1414.75,1412.50,1424.75,1408.00,1391.51,1371.04,1332.95,0.99841,-0.001591653
08/22/2012,1412.75,1412.50,1414.25,1404.25,1393.42,1372.67,1333.74,1,0
08/23/2012,1412.25,1400.00,1418.00,1398.00,1394.01,1373.74,1334.40,0.99115,-0.008888947
08/24/2012,1399.75,1410.50,1412.00,1395.25,1395.51,1375.18,1335.16,1.0075,0.007472015
08/27/2012,1410.00,1408.00,1416.00,1407.00,1396.65,1376.47,1335.88,0.99823,-0.001773994
08/28/2012,1408.25,1407.75,1412.00,1403.25,1397.66,1377.70,1336.60,0.99982,-0.000177573
08/29/2012,1407.25,1407.50,1412.50,1404.75,1398.55,1378.86,1337.30,0.99982,-0.000177604
08/30/2012,1407.00,1396.75,1407.75,1395.25,1398.39,1379.57,1337.90,0.99236,-0.007666972
08/31/2012,1397.00,1404.75,1412.25,1395.50,1398.97,1380.55,1338.56,1.00573,0.005711242
09/03/2012,1406.25,1408.50,1409.50,1396.75,1399.83,1381.65,1339.26,1.00267,0.002665957
09/04/2012,1408.75,1406.00,1409.25,1394.50,1400.39,1382.60,1339.92,0.99823,-0.001776515
09/05/2012,1406.25,1403.75,1408.25,1397.25,1400.70,1383.43,1340.56,0.9984,-0.001601566
09/06/2012,1403.50,1430.75,1432.25,1403.25,1403.43,1385.29,1341.45,1.01923,0.019051555
09/07/2012,1431.00,1438.25,1438.75,1430.50,1406.60,1387.37,1342.42,1.00524,0.005228314
